,wave,telluric
464,6254.64,1.0
465,6254.65,1.0
466,6254.66,1.0
467,6254.67,1.0
468,6254.68,1.0
469,6254.69,1.0
470,6254.7,1.0
471,6254.71,1.0
472,6254.72,1.0
473,6254.73,1.0
474,6254.74,1.0
475,6254.75,1.0
476,6254.76,1.0
477,6254.77,1.0
478,6254.78,1.0
479,6254.79,1.0
480,6254.8,1.0
481,6254.81,1.0
482,6254.82,1.0
483,6254.83,1.0
484,6254.84,1.0
485,6254.85,1.0
486,6254.86,1.0
487,6254.87,1.0
488,6254.88,1.0
489,6254.89,1.0
490,6254.9,1.0
491,6254.91,1.0
492,6254.92,1.0
493,6254.93,1.0
494,6254.94,1.0
495,6254.95,1.0
496,6254.96,1.0
497,6254.97,1.0
498,6254.98,1.0
499,6254.99,1.0
500,6255.0,1.0
501,6255.01,1.0
502,6255.02,1.0
503,6255.03,1.0
504,6255.04,1.0
505,6255.05,1.0
506,6255.06,1.0
507,6255.07,1.0
508,6255.08,1.0
509,6255.09,1.0
510,6255.1,1.0
511,6255.11,1.0
512,6255.12,1.0
513,6255.13,1.0
514,6255.14,1.0
515,6255.15,1.0
516,6255.16,1.0
517,6255.17,1.0
518,6255.18,1.0
519,6255.19,1.0
520,6255.2,1.0
521,6255.21,1.0
522,6255.22,1.0
523,6255.23,1.0
524,6255.24,1.0
525,6255.25,1.0
526,6255.26,1.0
527,6255.27,1.0
528,6255.28,1.0
529,6255.29,1.0
530,6255.3,1.0
531,6255.31,1.0
532,6255.32,1.0
533,6255.33,1.0
534,6255.34,1.0
535,6255.35,1.0
536,6255.36,1.0
537,6255.37,1.0
538,6255.38,1.0
539,6255.39,1.0
540,6255.4,1.0
541,6255.41,1.0
542,6255.42,1.0
543,6255.43,1.0
544,6255.44,1.0
545,6255.45,1.0
546,6255.46,1.0
547,6255.47,1.0
548,6255.48,1.0
549,6255.49,1.0
550,6255.5,1.0
551,6255.51,1.0
552,6255.52,1.0
553,6255.53,1.0
554,6255.54,1.0
555,6255.55,1.0
556,6255.56,1.0
557,6255.57,1.0
558,6255.58,1.0
559,6255.59,1.0
560,6255.6,1.0
561,6255.61,1.0
562,6255.62,1.0
563,6255.63,1.0
564,6255.64,1.0
565,6255.65,1.0
566,6255.66,1.0
567,6255.67,1.0
568,6255.68,1.0
569,6255.69,1.0
570,6255.7,1.0
571,6255.71,1.0
572,6255.72,1.0
573,6255.73,1.0
574,6255.74,1.0
575,6255.75,1.0
576,6255.76,1.0
577,6255.77,1.0
578,6255.78,1.0
579,6255.79,1.0
580,6255.8,1.0
581,6255.81,1.0
582,6255.82,1.0
583,6255.83,1.0
584,6255.84,1.0
585,6255.85,1.0
586,6255.86,1.0
587,6255.87,1.0
588,6255.88,1.0
589,6255.89,1.0
590,6255.9,1.0
591,6255.91,1.0
592,6255.92,1.0
593,6255.93,1.0
594,6255.94,1.0
595,6255.95,1.0
596,6255.96,1.0
597,6255.97,1.0
598,6255.98,1.0
599,6255.99,1.0
600,6256.0,1.0
601,6256.01,1.0
602,6256.02,1.0
603,6256.03,1.0
604,6256.04,1.0
605,6256.05,1.0
606,6256.06,1.0
607,6256.07,1.0
608,6256.08,1.0
609,6256.09,1.0
610,6256.1,1.0
611,6256.11,1.0
612,6256.12,1.0
613,6256.13,1.0
614,6256.14,1.0
615,6256.15,1.0
616,6256.16,1.0
617,6256.17,1.0
618,6256.18,1.0
619,6256.19,1.0
620,6256.2,1.0
621,6256.21,1.0
622,6256.22,1.0
623,6256.23,1.0
624,6256.24,1.0
625,6256.25,1.0
626,6256.26,1.0
627,6256.27,1.0
628,6256.28,1.0
629,6256.29,1.0
630,6256.3,1.0
631,6256.31,1.0
632,6256.32,1.0
633,6256.33,1.0
634,6256.34,1.0
635,6256.35,1.0
636,6256.36,1.0
637,6256.37,1.0
638,6256.38,1.0
639,6256.39,1.0
640,6256.4,1.0
641,6256.41,1.0
642,6256.42,1.0
643,6256.43,1.0
644,6256.44,1.0
645,6256.45,1.0
646,6256.46,1.0
647,6256.47,1.0
648,6256.48,1.0
649,6256.49,1.0
650,6256.5,1.0
651,6256.51,1.0
652,6256.52,1.0
653,6256.53,1.0
654,6256.54,1.0
655,6256.55,1.0
656,6256.56,1.0
657,6256.57,1.0
658,6256.58,1.0
659,6256.59,1.0
660,6256.6,1.0
661,6256.61,1.0
662,6256.62,1.0
663,6256.63,1.0
664,6256.64,1.0
665,6256.65,1.0
666,6256.66,1.0
667,6256.67,1.0
668,6256.68,1.0
669,6256.69,1.0
670,6256.7,1.0
671,6256.71,1.0
672,6256.72,1.0
673,6256.73,1.0
674,6256.74,1.0
675,6256.75,1.0
676,6256.76,1.0
677,6256.77,1.0
678,6256.78,1.0
679,6256.79,1.0
680,6256.8,1.0
681,6256.81,1.0
682,6256.82,1.0
683,6256.83,1.0
684,6256.84,1.0
685,6256.85,1.0
686,6256.86,1.0
687,6256.87,1.0
688,6256.88,1.0
689,6256.89,1.0
690,6256.9,1.0
691,6256.91,1.0
692,6256.92,1.0
693,6256.93,1.0
694,6256.94,1.0
695,6256.95,1.0
696,6256.96,1.0
697,6256.97,1.0
698,6256.98,1.0
699,6256.99,1.0
700,6257.0,1.0
701,6257.01,1.0
702,6257.02,1.0
703,6257.03,1.0
704,6257.04,1.0
705,6257.05,1.0
706,6257.06,1.0
707,6257.07,1.0
708,6257.08,1.0
709,6257.09,1.0
710,6257.1,1.0
711,6257.11,1.0
712,6257.12,1.0
713,6257.13,1.0
714,6257.14,1.0
715,6257.15,1.0
716,6257.16,1.0
717,6257.17,1.0
718,6257.18,1.0
719,6257.19,1.0
720,6257.2,1.0
721,6257.21,1.0
722,6257.22,1.0
723,6257.23,1.0
724,6257.24,1.0
725,6257.25,1.0
726,6257.26,1.0
727,6257.27,1.0
728,6257.28,1.0
729,6257.29,1.0
730,6257.3,1.0
731,6257.31,1.0
732,6257.32,1.0
733,6257.33,1.0
734,6257.34,1.0
735,6257.35,1.0
736,6257.36,1.0
737,6257.37,1.0
738,6257.38,1.0
739,6257.39,1.0
740,6257.4,1.0
741,6257.41,1.0
742,6257.42,1.0
743,6257.43,1.0
744,6257.44,1.0
745,6257.45,1.0
746,6257.46,1.0
747,6257.47,1.0
748,6257.48,1.0
749,6257.49,1.0
750,6257.5,1.0
751,6257.51,1.0
752,6257.52,1.0
753,6257.53,1.0
754,6257.54,1.0
755,6257.55,1.0
756,6257.56,1.0
757,6257.57,1.0
758,6257.58,1.0
759,6257.59,1.0
760,6257.6,1.0
761,6257.61,1.0
762,6257.62,1.0
763,6257.63,1.0
764,6257.64,1.0
765,6257.65,1.0
766,6257.66,1.0
767,6257.67,1.0
768,6257.68,1.0
769,6257.69,1.0
770,6257.7,1.0
771,6257.71,1.0
772,6257.72,1.0
773,6257.73,1.0
774,6257.74,1.0
775,6257.75,1.0
776,6257.76,1.0
777,6257.77,1.0
778,6257.78,1.0
779,6257.79,1.0
780,6257.8,1.0
781,6257.81,1.0
782,6257.82,1.0
783,6257.83,1.0
784,6257.84,1.0
785,6257.85,1.0
786,6257.86,1.0
787,6257.87,1.0
788,6257.88,1.0
789,6257.89,1.0
790,6257.9,1.0
791,6257.91,1.0
792,6257.92,1.0
793,6257.93,1.0
794,6257.94,1.0
795,6257.95,1.0
796,6257.96,1.0
797,6257.97,1.0
798,6257.98,1.0
799,6257.99,1.0
800,6258.0,1.0
801,6258.01,1.0
802,6258.02,1.0
803,6258.03,1.0
804,6258.04,1.0
805,6258.05,1.0
806,6258.06,1.0
807,6258.07,1.0
808,6258.08,1.0
809,6258.09,1.0
810,6258.1,1.0
811,6258.11,1.0
812,6258.12,1.0
813,6258.13,1.0
814,6258.14,1.0
815,6258.15,1.0
816,6258.16,1.0
817,6258.17,1.0
818,6258.18,1.0
819,6258.19,1.0
820,6258.2,1.0
821,6258.21,1.0
822,6258.22,1.0
823,6258.23,1.0
824,6258.24,1.0
825,6258.25,1.0
