,HARPN,CORALIE14,ESPRESSO19,HARPS03,HARPS15,VSINI,ESPRESSO18,CORALIE07,CORALIE98,SOPHIE
20,5.169172278278566,6.6897217923877,5.060037962922546,5.272058850418204,5.315504242125244,0.9698996655518396,5.060037962922546,6.6897217923877,6.6897217923877,6.6897217923877
21,5.182084206359557,6.698633264856492,5.0745631884487095,5.284833947916496,5.328034844118633,1.0183946488294315,5.0745631884487095,6.698633264856492,6.698633264856492,6.698633264856492
22,5.195470611109917,6.707787328625399,5.090068232505946,5.298211348385211,5.34129255539025,1.0668896321070234,5.090068232505946,6.707787328625399,6.707787328625399,6.707787328625399
23,5.209351539393229,6.7171926402337405,5.1065048707655025,5.312178343681824,5.355239697776047,1.1153846153846154,5.1065048707655025,6.7171926402337405,6.7171926402337405,6.7171926402337405
24,5.223748044965564,6.726857477543642,5.123820473456979,5.326721091552414,5.3698354611024035,1.1638795986622077,5.123820473456979,6.726857477543642,6.726857477543642,6.726857477543642
25,5.238681181582991,6.7367897495341955,5.141962410809976,5.341825749743052,5.385039035195693,1.2123745819397993,5.141962410809976,6.7367897495341955,6.7367897495341955,6.7367897495341955
26,5.254172003001586,6.7469970059404805,5.160878053054097,5.357478475999814,5.400809609882294,1.2608695652173914,5.160878053054097,6.7469970059404805,6.7469970059404805,6.7469970059404805
27,5.27024156297742,6.757486446738485,5.180514770418944,5.373665428068777,5.417106374988584,1.3093645484949834,5.180514770418944,6.757486446738485,6.757486446738485,6.757486446738485
28,5.2869109152665645,6.768264931477044,5.200819933134116,5.390372763696014,5.433888520340938,1.3578595317725752,5.200819933134116,6.768264931477044,6.768264931477044,6.768264931477044
29,5.304201113625094,6.779338988457849,5.221740911429217,5.407586640627602,5.4511152357657355,1.4063545150501673,5.221740911429217,6.779338988457849,6.779338988457849,6.779338988457849
30,5.32213321180908,6.790714823764626,5.2432250755338465,5.425293216609613,5.468745711089352,1.4548494983277591,5.2432250755338465,6.790714823764626,6.790714823764626,6.790714823764626
31,5.34072826128786,6.8023983301425615,5.265219800421823,5.443478650753883,5.4867391403712,1.5033444816053512,5.265219800421823,6.8023983301425615,6.8023983301425615,6.8023983301425615
32,5.359998807157356,6.814395095729048,5.287690108947418,5.462134182617493,5.505070464027018,1.5518394648829432,5.287690108947418,6.814395095729048,6.814395095729048,6.814395095729048
33,5.379929700992831,6.826710412636843,5.310658478760111,5.481267591757472,5.523765886627488,1.6003344481605353,5.310658478760111,6.826710412636843,6.826710412636843,6.826710412636843
34,5.400500168140575,6.839349285390711,5.334159060053188,5.5008900180051725,5.542862027593641,1.648829431438127,5.334159060053188,6.839349285390711,6.839349285390711,6.839349285390711
35,5.421689433946882,6.852316439218645,5.358226003019933,5.521012601191954,5.5623955063465065,1.6973244147157192,5.358226003019933,6.852316439218645,6.852316439218645,6.852316439218645
36,5.443476723758046,6.8656163281987235,5.382893457853633,5.541646481149176,5.582402942307122,1.7458193979933112,5.382893457853633,6.8656163281987235,6.8656163281987235,6.8656163281987235
37,5.465841262920355,6.879253143262718,5.40819557474757,5.5628027977081915,5.6029209548965175,1.794314381270903,5.40819557474757,6.879253143262718,6.879253143262718,6.879253143262718
38,5.488762276780105,6.8932308200575045,5.434166503895028,5.584492690700363,5.623986163535724,1.842809364548495,5.434166503895028,6.8932308200575045,6.8932308200575045,6.8932308200575045
39,5.512218990683587,6.907553046665365,5.460840395489295,5.606727299957046,5.645635187645773,1.8913043478260871,5.460840395489295,6.907553046665365,6.907553046665365,6.907553046665365
40,5.536190629977093,6.922223271184279,5.488251399723653,5.629517765309598,5.667904646647699,1.939799331103679,5.488251399723653,6.922223271184279,6.922223271184279,6.922223271184279
41,5.560656420006916,6.93724470916926,5.516433666791388,5.652875226589377,5.690831159962535,1.988294314381271,5.516433666791388,6.93724470916926,6.93724470916926,6.93724470916926
42,5.585597302638965,6.95262035093584,5.545417061637596,5.676807777908348,5.7144453033423055,2.036789297658863,5.545417061637596,6.95262035093584,6.95262035093584,6.95262035093584
43,5.611008737774485,6.968352968726764,5.575195205296171,5.701297753194135,5.738726536199185,2.085284280936455,5.575195205296171,6.968352968726764,6.968352968726764,6.968352968726764
44,5.636893485359267,6.984445123742996,5.605743494422821,5.7263145334858425,5.763628615324459,2.1337792642140467,5.605743494422821,6.984445123742996,6.984445123742996,6.984445123742996
45,5.663254360632704,7.000899173040102,5.6370371876341725,5.751827401711964,5.789105102826989,2.182274247491639,5.6370371876341725,7.000899173040102,7.000899173040102,7.000899173040102
46,5.690094178834185,7.017717276291095,5.669051543546853,5.777805640800994,5.81510956081564,2.230769230769231,5.669051543546853,7.017717276291095,7.017717276291095,7.017717276291095
47,5.7174157552031,7.034901402416832,5.701761820777492,5.804218533681427,5.84159555139927,2.279264214046823,5.701761820777492,7.034901402416832,7.034901402416832,7.034901402416832
48,5.74522190497884,7.052453336085027,5.735143277942713,5.831035363281756,5.868516636686743,2.327759197324415,5.735143277942713,7.052453336085027,7.052453336085027,7.052453336085027
49,5.773515443400796,7.070374684078983,5.769171173659145,5.8582254125304765,5.89582637878692,2.376254180602007,5.769171173659145,7.070374684078983,7.070374684078983,7.070374684078983
50,5.802299185708358,7.088666881537101,5.803820766543415,5.885757964356081,5.923478339808663,2.4247491638795986,5.803820766543415,7.088666881537101,7.088666881537101,7.088666881537101
51,5.831575947140917,7.107331198064271,5.839067315212152,5.913602301687067,5.951426081860834,2.4732441471571907,5.839067315212152,7.107331198064271,7.107331198064271,7.107331198064271
52,5.861348198880927,7.126368743716204,5.874886533600964,5.941728512197306,5.9796243247628675,2.5217391304347827,5.874886533600964,7.126368743716204,7.126368743716204,7.126368743716204
53,5.891608185930698,7.1457804748578,5.911267668795003,5.970130602483425,6.008062198211418,2.5702341137123748,5.911267668795003,7.1457804748578,7.1457804748578,7.1457804748578
54,5.922336448622842,7.165567199896633,5.948215457636383,5.998829956235542,6.036768216721422,2.618729096989967,5.948215457636383,7.165567199896633,7.165567199896633,7.165567199896633
55,5.953512885843822,7.185729584892625,5.985735485845946,6.0278494574792765,6.065773053197665,2.667224080267559,5.985735485845946,7.185729584892625,7.185729584892625,7.185729584892625
56,5.985117396480101,7.206268159045003,6.023833339144528,6.057211990240238,6.095107380544932,2.7157190635451505,6.023833339144528,7.206268159045003,7.206268159045003,7.206268159045003
57,6.017129879418141,7.2271833200576046,6.0625146032529695,6.086940438544041,6.124801871668009,2.7642140468227425,6.0625146032529695,7.2271833200576046,7.2271833200576046,7.2271833200576046
58,6.049530233544402,7.248475339383632,6.101784863892108,6.117057686416302,6.154887199471681,2.8127090301003346,6.101784863892108,7.248475339383632,7.248475339383632,7.248475339383632
59,6.082298357745346,7.27014436735092,6.141649706782781,6.147586617882631,6.18539403686073,2.861204013377926,6.141649706782781,7.27014436735092,7.27014436735092,7.27014436735092
60,6.115414150907436,7.292190438168803,6.1821147176458275,6.178550116968644,6.216353056739946,2.9096989966555187,6.1821147176458275,7.292190438168803,7.292190438168803,7.292190438168803
61,6.148857511917133,7.314613474817673,6.223185482202087,6.209971067699955,6.247794932014111,2.9581939799331107,6.223185482202087,7.314613474817673,7.314613474817673,7.314613474817673
62,6.182608356481906,7.3374132938222925,6.264867571826242,6.24187234339858,6.279750314727449,3.0066889632107023,6.264867571826242,7.3374132938222925,7.3374132938222925,7.3374132938222925
63,6.216655978283966,7.360589609909958,6.30715855968853,6.274270849964664,6.312238226837299,3.0551839464882944,6.30715855968853,7.360589609909958,7.360589609909958,7.360589609909958
64,6.251014630227321,7.384142040554587,6.35003473195804,6.307167611169182,6.345246737144631,3.1036789297658864,6.35003473195804,7.384142040554587,7.384142040554587,7.384142040554587
65,6.285702671907365,7.40807011040781,6.3934688723251085,6.340561037600551,6.378758821540811,3.1521739130434785,6.3934688723251085,7.40807011040781,7.40807011040781,7.40807011040781
66,6.320738462919496,7.43237325561816,6.437433764480072,6.37444953984719,6.4127574559172045,3.2006688963210705,6.437433764480072,7.43237325561816,7.43237325561816,7.43237325561816
67,6.356140362859106,7.457050828039419,6.481902192113264,6.40883152849752,6.447225616165177,3.249163879598662,6.481902192113264,7.457050828039419,7.457050828039419,7.457050828039419
68,6.391926731321592,7.482102099329229,6.52684693891502,6.443705414139954,6.482146278176096,3.297658862876254,6.52684693891502,7.482102099329229,7.482102099329229,7.482102099329229
69,6.428115927902347,7.507526264939027,6.572240788575675,6.479069607362914,6.517502417841324,3.3461538461538463,6.572240788575675,7.507526264939027,7.507526264939027,7.507526264939027
70,6.464726312196767,7.53332244799639,6.6180565247855645,6.514922518754817,6.553277011052229,3.3946488294314383,6.6180565247855645,7.53332244799639,7.53332244799639,7.53332244799639
71,6.501776243800244,7.55948970308089,6.664266931235024,6.551262558904083,6.5894530337001775,3.4431438127090304,6.664266931235024,7.55948970308089,7.55948970308089,7.55948970308089
72,6.539284082308176,7.586027019894509,6.710844791614386,6.58808813839913,6.626013461676531,3.4916387959866224,6.710844791614386,7.586027019894509,7.586027019894509,7.586027019894509
73,6.577264211874084,7.61293332682772,6.7577668243723625,6.625387863722502,6.6629352237724415,3.540133779264214,6.7577668243723625,7.61293332682772,7.61293332682772,7.61293332682772
74,6.61570410506107,7.640207494422305,6.805036384142809,6.663083972864874,6.700154313182598,3.588628762541806,6.805036384142809,7.640207494422305,7.640207494422305,7.640207494422305
75,6.6545800753577,7.667848338731991,6.852667870435439,6.701071183669034,6.7375897488773795,3.637123745819398,6.852667870435439,7.667848338731991,7.667848338731991,7.667848338731991
76,6.693868400305617,7.695854624581991,6.900675718339029,6.739244125326646,6.775160495147807,3.68561872909699,6.900675718339029,7.695854624581991,7.695854624581991,7.695854624581991
77,6.733545357446462,7.724225068728522,6.9490743629423415,6.7774974270293695,6.812785516284891,3.7341137123745822,6.9490743629423415,7.724225068728522,7.724225068728522,7.724225068728522
78,6.77358722432188,7.752958342919392,6.997878239334154,6.815725717968868,6.850383776579655,3.7826086956521743,6.997878239334154,7.752958342919392,7.752958342919392,7.752958342919392
