,star,jdb,Xlum,Xlum_std,ins,source,flag,finch_offset
31,HD128620,55488.000577793864,1.6669647209518055,0.5,Xlum,Ayres+23,0,0
32,HD128620,55717.98545760151,2.046121022545199,0.5,Xlum,Ayres+23,0,0
33,HD128620,55914.42574034541,1.8320502768994822,0.5,Xlum,Ayres+23,0,0
34,HD128620,56079.44290264498,2.4278207001599412,0.5,Xlum,Ayres+23,0,0
35,HD128620,56277.20409583451,3.005394054251444,0.5,Xlum,Ayres+23,0,0
36,HD128620,56473.687537284575,2.690961555360192,0.5,Xlum,Ayres+23,0,0
37,HD128620,56629.660669865814,2.981519525056187,0.5,Xlum,Ayres+23,0,0
38,HD128620,56834.440883049225,2.8337646302117103,0.5,Xlum,Ayres+23,0,0
39,HD128620,57031.045499653104,2.7163543485763215,0.5,Xlum,Ayres+23,0,0
40,HD128620,57162.86159651992,3.599510768122274,0.5,Xlum,Ayres+23,0,0
41,HD128620,57334.98049964878,3.600475496540324,0.5,Xlum,Ayres+23,0,0
42,HD128620,57523.34795254877,2.910285006537014,0.5,Xlum,Ayres+23,0,0
43,HD128620,57671.75639753592,3.541464871263997,0.5,Xlum,Ayres+23,0,0
44,HD128620,57884.85474109955,3.2255534062582076,0.5,Xlum,Ayres+23,0,0
45,HD128620,58064.574079563004,2.519799982278163,0.5,Xlum,Ayres+23,0,0
46,HD128620,58261.93873883325,3.3110473131358384,0.5,Xlum,Ayres+23,0,0
47,HD128620,58449.73096562882,2.457651658971481,0.5,Xlum,Ayres+23,0,0
48,HD128620,58622.199083783715,2.8416588387890114,0.5,Xlum,Ayres+23,0,0
49,HD128620,58892.11157051148,2.145786169314932,0.5,Xlum,Ayres+23,0,0
50,HD128620,59006.94530467374,1.9540750344460653,0.5,Xlum,Ayres+23,0,0
51,HD128620,59499.03557184719,1.7654234522359038,0.5,Xlum,Ayres+23,0,0
52,HD128620,60056.18811695439,1.6364664258390382,0.5,Xlum,Ayres+23,0,0
53,HD128620,60203.554276988405,1.5289394223327206,0.5,Xlum,Ayres+23,0,0
