,HARPN,CORALIE14,ESPRESSO19,HARPS03,HARPS15,VSINI,ESPRESSO18,CORALIE07,CORALIE98,SOPHIE,SOPHIE-HE
77,7.047872308315872,8.086593372974763,7.279979440645381,7.090507958235733,7.125257309157551,3.7341137123745822,7.279979440645381,8.086593372974763,8.086593372974763,8.086593372974763,8.875114089967365
78,7.090020214610673,8.117975035452282,7.331792348642465,7.130935920472075,7.1657048303452,3.7826086956521743,7.331792348642465,8.117975035452282,8.117975035452282,8.117975035452282,8.89959223605553
79,7.132495665989801,8.149738294818908,7.383991268928945,7.17134574482612,7.2059908889431235,3.831103678929766,7.383991268928945,8.149738294818908,8.149738294818908,8.149738294818908,8.924405703637872
80,7.1752970357471355,8.181881302101056,7.436559841868447,7.211630986241686,7.245999177336032,3.879598662207358,7.436559841868447,8.181881302101056,8.181881302101056,8.181881302101056,8.949554136022785
81,7.21842269717655,8.214402158560027,7.4894817078245906,7.251685199662586,7.285613387908629,3.92809364548495,7.4894817078245906,8.214402158560027,8.214402158560027,8.214402158560027,8.97503712750249
82,7.261871023571918,8.247298918469186,7.542740507161,7.291401940032633,7.324717213045624,3.976588628762542,7.542740507161,8.247298918469186,8.247298918469186,8.247298918469186,9.000854224803952
83,7.305639557223337,8.280569591804188,7.596320537863464,7.330682103586703,7.363202816541292,4.025083612040134,7.596320537863464,8.280569591804188,8.280569591804188,8.280569591804188,9.027004928502322
84,7.3497081901469405,8.314212146847286,7.650220065617921,7.3695825134067405,7.4011422924191885,4.073578595317726,7.650220065617921,8.314212146847286,8.314212146847286,8.314212146847286,9.053488694397837
85,7.394039940427078,8.348224512706702,7.704450709445174,7.408309061024488,7.438779750753055,4.122073578595318,7.704450709445174,8.348224512706702,8.348224512706702,8.348224512706702,9.08030493485689
86,7.438597150511258,8.382604581752078,7.7590246230372255,7.447073606713226,7.476366189186375,4.17056856187291,7.7590246230372255,8.382604581752078,8.382604581752078,8.382604581752078,9.10745302011802
87,7.483342162846989,8.417350211967015,7.813953960086068,7.486088010746239,7.514152605362636,4.219063545150502,7.813953960086068,8.417350211967015,8.417350211967015,8.417350211967015,9.134932279563474
88,7.528237319881774,8.452459229219704,7.869250874283698,7.525564133396808,7.552389996925321,4.2675585284280935,7.869250874283698,8.452459229219704,8.452459229219704,8.452459229219704,9.162742002956902
89,7.573244964063122,8.487929429452658,7.924927519322113,7.565713834938212,7.591329361517911,4.316053511705686,7.924927519322113,8.487929429452658,8.487929429452658,8.487929429452658,9.190881441647761
90,7.618327437838538,8.523758580792538,7.980996048893307,7.606748975643736,7.631221696783893,4.364548494983278,7.980996048893307,8.523758580792538,8.523758580792538,8.523758580792538,9.219349809742866
91,7.663447083655529,8.559944425581113,8.037468616689278,7.6488814157866605,7.67231800036675,4.41304347826087,8.037468616689278,8.559944425581113,8.559944425581113,8.559944425581113,9.248146285245525
92,7.708566243961603,8.596484682328313,8.094357376402018,7.692323015640267,7.714869269909966,4.461538461538462,8.094357376402018,8.596484682328313,8.596484682328313,8.596484682328313,9.277270011162628
