,SOPHIE-HE,CORALIE98,CORALIE07,CORALIE14,ESPRESSO18,ESPRESSO19,HARPS03,HARPS15,HARPN,NEID,ESPRESSO,SOPHIE,FEROS,VSINI
24,12.841402428375137,12.159558051648252,12.083797565345328,12.008037079046291,12.31107902426216,12.31107902426216,11.364072945474904,11.364072945474904,11.439833431779912,11.364072945474904,11.642153288164424,11.922877264417986,12.68885127991438,6.0
25,13.144444374310366,12.462599997542986,12.38683951124006,12.348959268090544,12.765641942795462,12.765641942795462,11.742875377638295,11.742875377638295,11.856516107102948,11.742875377638295,12.057334591549552,12.293307166371193,13.067622959911823,6.25
26,13.447486320265847,12.765641943457968,12.689881457155042,12.689881457155042,13.22020486134901,13.22020486134901,12.12167780982194,12.12167780982194,12.235318539296715,12.12167780982194,12.469258882153342,12.662939441390185,13.446343669136365,6.5
27,13.82628875275039,13.106564132740663,13.0686838895892,13.0686838895892,13.67476778013648,13.67476778013648,12.500480242218307,12.500480242218307,12.652001214857144,12.500480242218307,12.884560577448262,13.058546583687589,13.825061506768069,6.75
28,14.205091185260128,13.447486322048553,13.447486322048553,13.447486322048553,14.129330698949143,14.129330698949143,12.879282674639873,12.917162917803932,13.068683890442763,12.879282674639873,13.30030561098163,13.456264250578831,14.203830315172672,7.0
29,14.58389361787658,13.826288754612586,13.826288754612586,13.826288754612586,14.58389361787658,14.58389361787658,13.258085107164588,13.333845593497244,13.447486322980586,13.258085107164588,13.71001841739383,13.853839348233128,14.582543845415115,7.25
30,14.962696050414303,14.205091187104944,14.205091187104944,14.205091187104944,15.03845653675627,15.03845653675627,13.674767782793904,13.750528269126562,13.864168998621246,13.636887539622922,14.13375145083974,14.25936205324545,14.961311218023301,7.5
31,15.341498482974709,14.583893619619984,14.583893619619984,14.583893619619984,15.49301945565864,15.49301945565864,14.091450458445909,14.167210944778564,14.280851674284587,14.053570215274924,14.560309121163872,14.666566300750192,15.340020442485809,7.75
32,15.720300915635269,14.96269605223365,15.000576295409433,15.000576295409433,15.947582374670766,15.947582374670766,14.508133134200184,14.58389362053284,14.697534350050589,14.508133134204984,14.99721303209737,15.084892113524502,15.718756587386132,8.0
33,16.09910334831928,15.341498484870764,15.41725897122233,15.41725897122233,16.40214529370634,16.40214529370634,14.962696053153692,14.962696053146503,15.114217025840038,14.962696053158492,15.438989177784013,15.507281262389188,16.097521806359293,8.25
